,Age Group,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
1683,21-24 years,Full-time,Scotland,2014/15,Third class honours/Pass,455
1684,21-24 years,Full-time,Scotland,2014/15,Unclassified,4210
1685,21-24 years,Part-time,Scotland,2014/15,First class honours,20
1686,21-24 years,Part-time,Scotland,2014/15,Upper second class honours,50
1687,21-24 years,Part-time,Scotland,2014/15,Lower second class honours,40
1688,21-24 years,Part-time,Scotland,2014/15,Third class honours/Pass,25
1689,21-24 years,Part-time,Scotland,2014/15,Unclassified,375
1690,21-24 years,Full-time,Wales,2014/15,First class honours,2675
1691,21-24 years,Full-time,Wales,2014/15,Upper second class honours,6775
1692,21-24 years,Full-time,Wales,2014/15,Lower second class honours,3265
1693,21-24 years,Full-time,Wales,2014/15,Third class honours/Pass,520
1694,21-24 years,Full-time,Wales,2014/15,Unclassified,335
1695,21-24 years,Part-time,Wales,2014/15,First class honours,30
1696,21-24 years,Part-time,Wales,2014/15,Upper second class honours,65
1697,21-24 years,Part-time,Wales,2014/15,Lower second class honours,65
1698,21-24 years,Part-time,Wales,2014/15,Third class honours/Pass,40
1699,21-24 years,Part-time,Wales,2014/15,Unclassified,5
1700,21-24 years,Full-time,England,2015/16,First class honours,49095
1701,21-24 years,Full-time,England,2015/16,Upper second class honours,106330
1702,21-24 years,Full-time,England,2015/16,Lower second class honours,37965
1703,21-24 years,Full-time,England,2015/16,Third class honours/Pass,6540
1704,21-24 years,Full-time,England,2015/16,Unclassified,5810
1705,21-24 years,Part-time,England,2015/16,First class honours,615
1706,21-24 years,Part-time,England,2015/16,Upper second class honours,1515
1707,21-24 years,Part-time,England,2015/16,Lower second class honours,1730
1708,21-24 years,Part-time,England,2015/16,Third class honours/Pass,1050
1709,21-24 years,Part-time,England,2015/16,Unclassified,225
1710,21-24 years,Full-time,Northern Ireland,2015/16,First class honours,1485
1711,21-24 years,Full-time,Northern Ireland,2015/16,Upper second class honours,3485
1712,21-24 years,Full-time,Northern Ireland,2015/16,Lower second class honours,1370
1713,21-24 years,Full-time,Northern Ireland,2015/16,Third class honours/Pass,160
1714,21-24 years,Full-time,Northern Ireland,2015/16,Unclassified,165
1715,21-24 years,Part-time,Northern Ireland,2015/16,First class honours,15
1716,21-24 years,Part-time,Northern Ireland,2015/16,Upper second class honours,80
1717,21-24 years,Part-time,Northern Ireland,2015/16,Lower second class honours,75
1718,21-24 years,Part-time,Northern Ireland,2015/16,Third class honours/Pass,10
1719,21-24 years,Part-time,Northern Ireland,2015/16,Unclassified,5
1720,21-24 years,Full-time,Scotland,2015/16,First class honours,4250
1721,21-24 years,Full-time,Scotland,2015/16,Upper second class honours,9955
1722,21-24 years,Full-time,Scotland,2015/16,Lower second class honours,3005
1723,21-24 years,Full-time,Scotland,2015/16,Third class honours/Pass,445
1724,21-24 years,Full-time,Scotland,2015/16,Unclassified,4215
1725,21-24 years,Part-time,Scotland,2015/16,First class honours,20
1726,21-24 years,Part-time,Scotland,2015/16,Upper second class honours,55
1727,21-24 years,Part-time,Scotland,2015/16,Lower second class honours,40
1728,21-24 years,Part-time,Scotland,2015/16,Third class honours/Pass,15
1729,21-24 years,Part-time,Scotland,2015/16,Unclassified,225
1730,21-24 years,Full-time,Wales,2015/16,First class honours,2895
1731,21-24 years,Full-time,Wales,2015/16,Upper second class honours,6810
1732,21-24 years,Full-time,Wales,2015/16,Lower second class honours,3015
1733,21-24 years,Full-time,Wales,2015/16,Third class honours/Pass,400
1734,21-24 years,Full-time,Wales,2015/16,Unclassified,250
1735,21-24 years,Part-time,Wales,2015/16,First class honours,40
1736,21-24 years,Part-time,Wales,2015/16,Upper second class honours,60
1737,21-24 years,Part-time,Wales,2015/16,Lower second class honours,50
1738,21-24 years,Part-time,Wales,2015/16,Third class honours/Pass,30
1739,21-24 years,Part-time,Wales,2015/16,Unclassified,0
1740,21-24 years,Full-time,England,2016/17,First class honours,56470
1741,21-24 years,Full-time,England,2016/17,Upper second class honours,109190
1742,21-24 years,Full-time,England,2016/17,Lower second class honours,36615
1743,21-24 years,Full-time,England,2016/17,Third class honours/Pass,6530
1744,21-24 years,Full-time,England,2016/17,Unclassified,5550
1745,21-24 years,Part-time,England,2016/17,First class honours,595
1746,21-24 years,Part-time,England,2016/17,Upper second class honours,1405
1747,21-24 years,Part-time,England,2016/17,Lower second class honours,1635
1748,21-24 years,Part-time,England,2016/17,Third class honours/Pass,925
1749,21-24 years,Part-time,England,2016/17,Unclassified,150
1750,21-24 years,Full-time,Northern Ireland,2016/17,First class honours,1590
1751,21-24 years,Full-time,Northern Ireland,2016/17,Upper second class honours,3695
1752,21-24 years,Full-time,Northern Ireland,2016/17,Lower second class honours,1280
1753,21-24 years,Full-time,Northern Ireland,2016/17,Third class honours/Pass,130
1754,21-24 years,Full-time,Northern Ireland,2016/17,Unclassified,155
1755,21-24 years,Part-time,Northern Ireland,2016/17,First class honours,10
1756,21-24 years,Part-time,Northern Ireland,2016/17,Upper second class honours,65
1757,21-24 years,Part-time,Northern Ireland,2016/17,Lower second class honours,70
1758,21-24 years,Part-time,Northern Ireland,2016/17,Third class honours/Pass,15
1759,21-24 years,Part-time,Northern Ireland,2016/17,Unclassified,0
1760,21-24 years,Full-time,Scotland,2016/17,First class honours,4415
1761,21-24 years,Full-time,Scotland,2016/17,Upper second class honours,10065
1762,21-24 years,Full-time,Scotland,2016/17,Lower second class honours,3050
1763,21-24 years,Full-time,Scotland,2016/17,Third class honours/Pass,455
1764,21-24 years,Full-time,Scotland,2016/17,Unclassified,4120
1765,21-24 years,Part-time,Scotland,2016/17,First class honours,25
1766,21-24 years,Part-time,Scotland,2016/17,Upper second class honours,60
1767,21-24 years,Part-time,Scotland,2016/17,Lower second class honours,60
1768,21-24 years,Part-time,Scotland,2016/17,Third class honours/Pass,15
1769,21-24 years,Part-time,Scotland,2016/17,Unclassified,190
1770,21-24 years,Full-time,Wales,2016/17,First class honours,3360
1771,21-24 years,Full-time,Wales,2016/17,Upper second class honours,6995
1772,21-24 years,Full-time,Wales,2016/17,Lower second class honours,2910
1773,21-24 years,Full-time,Wales,2016/17,Third class honours/Pass,440
1774,21-24 years,Full-time,Wales,2016/17,Unclassified,300
1775,21-24 years,Part-time,Wales,2016/17,First class honours,25
1776,21-24 years,Part-time,Wales,2016/17,Upper second class honours,70
1777,21-24 years,Part-time,Wales,2016/17,Lower second class honours,60
1778,21-24 years,Part-time,Wales,2016/17,Third class honours/Pass,25
1779,21-24 years,Part-time,Wales,2016/17,Unclassified,0
1780,21-24 years,Full-time,England,2017/18,First class honours,62360
1781,21-24 years,Full-time,England,2017/18,Upper second class honours,109670
1782,21-24 years,Full-time,England,2017/18,Lower second class honours,35910
1783,21-24 years,Full-time,England,2017/18,Third class honours/Pass,6305
1784,21-24 years,Full-time,England,2017/18,Unclassified,5685
1785,21-24 years,Part-time,England,2017/18,First class honours,790
1786,21-24 years,Part-time,England,2017/18,Upper second class honours,1425
1787,21-24 years,Part-time,England,2017/18,Lower second class honours,1530
1788,21-24 years,Part-time,England,2017/18,Third class honours/Pass,915
1789,21-24 years,Part-time,England,2017/18,Unclassified,145
1790,21-24 years,Full-time,Northern Ireland,2017/18,First class honours,1775
1791,21-24 years,Full-time,Northern Ireland,2017/18,Upper second class honours,3310
1792,21-24 years,Full-time,Northern Ireland,2017/18,Lower second class honours,1015
1793,21-24 years,Full-time,Northern Ireland,2017/18,Third class honours/Pass,90
1794,21-24 years,Full-time,Northern Ireland,2017/18,Unclassified,145
1795,21-24 years,Part-time,Northern Ireland,2017/18,First class honours,10
1796,21-24 years,Part-time,Northern Ireland,2017/18,Upper second class honours,55
1797,21-24 years,Part-time,Northern Ireland,2017/18,Lower second class honours,55
1798,21-24 years,Part-time,Northern Ireland,2017/18,Third class honours/Pass,15
1799,21-24 years,Part-time,Northern Ireland,2017/18,Unclassified,0
1800,21-24 years,Full-time,Scotland,2017/18,First class honours,4675
1801,21-24 years,Full-time,Scotland,2017/18,Upper second class honours,10385
1802,21-24 years,Full-time,Scotland,2017/18,Lower second class honours,2820
1803,21-24 years,Full-time,Scotland,2017/18,Third class honours/Pass,385
1804,21-24 years,Full-time,Scotland,2017/18,Unclassified,4070
1805,21-24 years,Part-time,Scotland,2017/18,First class honours,20
1806,21-24 years,Part-time,Scotland,2017/18,Upper second class honours,70
1807,21-24 years,Part-time,Scotland,2017/18,Lower second class honours,80
1808,21-24 years,Part-time,Scotland,2017/18,Third class honours/Pass,30
1809,21-24 years,Part-time,Scotland,2017/18,Unclassified,170
1810,21-24 years,Full-time,Wales,2017/18,First class honours,3590
1811,21-24 years,Full-time,Wales,2017/18,Upper second class honours,6850
1812,21-24 years,Full-time,Wales,2017/18,Lower second class honours,2605
1813,21-24 years,Full-time,Wales,2017/18,Third class honours/Pass,365
1814,21-24 years,Full-time,Wales,2017/18,Unclassified,285
1815,21-24 years,Part-time,Wales,2017/18,First class honours,35
1816,21-24 years,Part-time,Wales,2017/18,Upper second class honours,60
1817,21-24 years,Part-time,Wales,2017/18,Lower second class honours,50
1818,21-24 years,Part-time,Wales,2017/18,Third class honours/Pass,30
1819,21-24 years,Part-time,Wales,2017/18,Unclassified,0
1820,21-24 years,Full-time,England,2018/19,First class honours,63615
1821,21-24 years,Full-time,England,2018/19,Upper second class honours,110430
1822,21-24 years,Full-time,England,2018/19,Lower second class honours,36460
1823,21-24 years,Full-time,England,2018/19,Third class honours/Pass,6520
1824,21-24 years,Full-time,England,2018/19,Unclassified,5625
1825,21-24 years,Part-time,England,2018/19,First class honours,830
1826,21-24 years,Part-time,England,2018/19,Upper second class honours,1590
1827,21-24 years,Part-time,England,2018/19,Lower second class honours,1560
1828,21-24 years,Part-time,England,2018/19,Third class honours/Pass,920
1829,21-24 years,Part-time,England,2018/19,Unclassified,150
1830,21-24 years,Full-time,Northern Ireland,2018/19,First class honours,1755
1831,21-24 years,Full-time,Northern Ireland,2018/19,Upper second class honours,3515
1832,21-24 years,Full-time,Northern Ireland,2018/19,Lower second class honours,970
1833,21-24 years,Full-time,Northern Ireland,2018/19,Third class honours/Pass,85
1834,21-24 years,Full-time,Northern Ireland,2018/19,Unclassified,140
1835,21-24 years,Part-time,Northern Ireland,2018/19,First class honours,45
1836,21-24 years,Part-time,Northern Ireland,2018/19,Upper second class honours,90
1837,21-24 years,Part-time,Northern Ireland,2018/19,Lower second class honours,60
1838,21-24 years,Part-time,Northern Ireland,2018/19,Third class honours/Pass,10
1839,21-24 years,Part-time,Northern Ireland,2018/19,Unclassified,0
1840,21-24 years,Full-time,Scotland,2018/19,First class honours,4930
1841,21-24 years,Full-time,Scotland,2018/19,Upper second class honours,9945
1842,21-24 years,Full-time,Scotland,2018/19,Lower second class honours,2790
1843,21-24 years,Full-time,Scotland,2018/19,Third class honours/Pass,375
1844,21-24 years,Full-time,Scotland,2018/19,Unclassified,4110
1845,21-24 years,Part-time,Scotland,2018/19,First class honours,35
1846,21-24 years,Part-time,Scotland,2018/19,Upper second class honours,80
1847,21-24 years,Part-time,Scotland,2018/19,Lower second class honours,70
1848,21-24 years,Part-time,Scotland,2018/19,Third class honours/Pass,20
1849,21-24 years,Part-time,Scotland,2018/19,Unclassified,185
1850,21-24 years,Full-time,Wales,2018/19,First class honours,3690
1851,21-24 years,Full-time,Wales,2018/19,Upper second class honours,6875
1852,21-24 years,Full-time,Wales,2018/19,Lower second class honours,2565
1853,21-24 years,Full-time,Wales,2018/19,Third class honours/Pass,340
1854,21-24 years,Full-time,Wales,2018/19,Unclassified,285
1855,21-24 years,Part-time,Wales,2018/19,First class honours,60
1856,21-24 years,Part-time,Wales,2018/19,Upper second class honours,65
1857,21-24 years,Part-time,Wales,2018/19,Lower second class honours,45
1858,21-24 years,Part-time,Wales,2018/19,Third class honours/Pass,20
1859,21-24 years,Part-time,Wales,2018/19,Unclassified,0
1860,21-24 years,Full-time,England,2019/20,First class honours,78565
1861,21-24 years,Full-time,England,2019/20,Upper second class honours,105370
1862,21-24 years,Full-time,England,2019/20,Lower second class honours,27695
1863,21-24 years,Full-time,England,2019/20,Third class honours/Pass,3915
1864,21-24 years,Full-time,England,2019/20,Unclassified,5615
1865,21-24 years,Part-time,England,2019/20,First class honours,885
1866,21-24 years,Part-time,England,2019/20,Upper second class honours,1485
1867,21-24 years,Part-time,England,2019/20,Lower second class honours,1480
1868,21-24 years,Part-time,England,2019/20,Third class honours/Pass,735
1869,21-24 years,Part-time,England,2019/20,Unclassified,140
1870,21-24 years,Full-time,Northern Ireland,2019/20,First class honours,2040
1871,21-24 years,Full-time,Northern Ireland,2019/20,Upper second class honours,3455
1872,21-24 years,Full-time,Northern Ireland,2019/20,Lower second class honours,720
1873,21-24 years,Full-time,Northern Ireland,2019/20,Third class honours/Pass,35
1874,21-24 years,Full-time,Northern Ireland,2019/20,Unclassified,120
1875,21-24 years,Part-time,Northern Ireland,2019/20,First class honours,40
1876,21-24 years,Part-time,Northern Ireland,2019/20,Upper second class honours,90
1877,21-24 years,Part-time,Northern Ireland,2019/20,Lower second class honours,55
1878,21-24 years,Part-time,Northern Ireland,2019/20,Third class honours/Pass,15
1879,21-24 years,Part-time,Northern Ireland,2019/20,Unclassified,0
1880,21-24 years,Full-time,Scotland,2019/20,First class honours,6375
1881,21-24 years,Full-time,Scotland,2019/20,Upper second class honours,9715
1882,21-24 years,Full-time,Scotland,2019/20,Lower second class honours,2145
1883,21-24 years,Full-time,Scotland,2019/20,Third class honours/Pass,270
1884,21-24 years,Full-time,Scotland,2019/20,Unclassified,3525
1885,21-24 years,Part-time,Scotland,2019/20,First class honours,30
1886,21-24 years,Part-time,Scotland,2019/20,Upper second class honours,60
1887,21-24 years,Part-time,Scotland,2019/20,Lower second class honours,40
1888,21-24 years,Part-time,Scotland,2019/20,Third class honours/Pass,15
1889,21-24 years,Part-time,Scotland,2019/20,Unclassified,130
1890,21-24 years,Full-time,Wales,2019/20,First class honours,4785
1891,21-24 years,Full-time,Wales,2019/20,Upper second class honours,6700
1892,21-24 years,Full-time,Wales,2019/20,Lower second class honours,2025
1893,21-24 years,Full-time,Wales,2019/20,Third class honours/Pass,265
1894,21-24 years,Full-time,Wales,2019/20,Unclassified,265
1895,21-24 years,Part-time,Wales,2019/20,First class honours,45
1896,21-24 years,Part-time,Wales,2019/20,Upper second class honours,40
1897,21-24 years,Part-time,Wales,2019/20,Lower second class honours,30
1898,21-24 years,Part-time,Wales,2019/20,Third class honours/Pass,20
1899,21-24 years,Part-time,Wales,2019/20,Unclassified,0
1900,21-24 years,All,England,2014/15,First class honours,45475
1901,21-24 years,All,England,2014/15,Upper second class honours,105400
1902,21-24 years,All,England,2014/15,Lower second class honours,40370
1903,21-24 years,All,England,2014/15,Third class honours/Pass,7730
1904,21-24 years,All,England,2014/15,Unclassified,6075
1905,21-24 years,All,Northern Ireland,2014/15,First class honours,1215
1906,21-24 years,All,Northern Ireland,2014/15,Upper second class honours,3480
1907,21-24 years,All,Northern Ireland,2014/15,Lower second class honours,1435
1908,21-24 years,All,Northern Ireland,2014/15,Third class honours/Pass,175
1909,21-24 years,All,Northern Ireland,2014/15,Unclassified,195
1910,21-24 years,All,Scotland,2014/15,First class honours,3730
1911,21-24 years,All,Scotland,2014/15,Upper second class honours,9380
1912,21-24 years,All,Scotland,2014/15,Lower second class honours,3090
1913,21-24 years,All,Scotland,2014/15,Third class honours/Pass,480
1914,21-24 years,All,Scotland,2014/15,Unclassified,4585
1915,21-24 years,All,Wales,2014/15,First class honours,2705
1916,21-24 years,All,Wales,2014/15,Upper second class honours,6840
1917,21-24 years,All,Wales,2014/15,Lower second class honours,3330
1918,21-24 years,All,Wales,2014/15,Third class honours/Pass,560
1919,21-24 years,All,Wales,2014/15,Unclassified,335
1920,21-24 years,All,England,2015/16,First class honours,49710
1921,21-24 years,All,England,2015/16,Upper second class honours,107845
1922,21-24 years,All,England,2015/16,Lower second class honours,39695
1923,21-24 years,All,England,2015/16,Third class honours/Pass,7590
1924,21-24 years,All,England,2015/16,Unclassified,6035
1925,21-24 years,All,Northern Ireland,2015/16,First class honours,1500
1926,21-24 years,All,Northern Ireland,2015/16,Upper second class honours,3565
1927,21-24 years,All,Northern Ireland,2015/16,Lower second class honours,1445
1928,21-24 years,All,Northern Ireland,2015/16,Third class honours/Pass,170
1929,21-24 years,All,Northern Ireland,2015/16,Unclassified,165
1930,21-24 years,All,Scotland,2015/16,First class honours,4270
1931,21-24 years,All,Scotland,2015/16,Upper second class honours,10015
1932,21-24 years,All,Scotland,2015/16,Lower second class honours,3045
1933,21-24 years,All,Scotland,2015/16,Third class honours/Pass,455
1934,21-24 years,All,Scotland,2015/16,Unclassified,4440
1935,21-24 years,All,Wales,2015/16,First class honours,2940
1936,21-24 years,All,Wales,2015/16,Upper second class honours,6870
1937,21-24 years,All,Wales,2015/16,Lower second class honours,3065
1938,21-24 years,All,Wales,2015/16,Third class honours/Pass,430
1939,21-24 years,All,Wales,2015/16,Unclassified,250
1940,21-24 years,All,England,2016/17,First class honours,57065
1941,21-24 years,All,England,2016/17,Upper second class honours,110595
1942,21-24 years,All,England,2016/17,Lower second class honours,38250
1943,21-24 years,All,England,2016/17,Third class honours/Pass,7460
1944,21-24 years,All,England,2016/17,Unclassified,5700
1945,21-24 years,All,Northern Ireland,2016/17,First class honours,1605
1946,21-24 years,All,Northern Ireland,2016/17,Upper second class honours,3765
1947,21-24 years,All,Northern Ireland,2016/17,Lower second class honours,1345
1948,21-24 years,All,Northern Ireland,2016/17,Third class honours/Pass,145
1949,21-24 years,All,Northern Ireland,2016/17,Unclassified,155
1950,21-24 years,All,Scotland,2016/17,First class honours,4440
1951,21-24 years,All,Scotland,2016/17,Upper second class honours,10125
1952,21-24 years,All,Scotland,2016/17,Lower second class honours,3110
1953,21-24 years,All,Scotland,2016/17,Third class honours/Pass,470
1954,21-24 years,All,Scotland,2016/17,Unclassified,4310
1955,21-24 years,All,Wales,2016/17,First class honours,3385
1956,21-24 years,All,Wales,2016/17,Upper second class honours,7065
1957,21-24 years,All,Wales,2016/17,Lower second class honours,2970
1958,21-24 years,All,Wales,2016/17,Third class honours/Pass,470
1959,21-24 years,All,Wales,2016/17,Unclassified,305
1960,21-24 years,All,England,2017/18,First class honours,63150
1961,21-24 years,All,England,2017/18,Upper second class honours,111090
1962,21-24 years,All,England,2017/18,Lower second class honours,37435
1963,21-24 years,All,England,2017/18,Third class honours/Pass,7220
1964,21-24 years,All,England,2017/18,Unclassified,5830
1965,21-24 years,All,Northern Ireland,2017/18,First class honours,1785
1966,21-24 years,All,Northern Ireland,2017/18,Upper second class honours,3365
1967,21-24 years,All,Northern Ireland,2017/18,Lower second class honours,1070
1968,21-24 years,All,Northern Ireland,2017/18,Third class honours/Pass,105
1969,21-24 years,All,Northern Ireland,2017/18,Unclassified,145
1970,21-24 years,All,Scotland,2017/18,First class honours,4695
1971,21-24 years,All,Scotland,2017/18,Upper second class honours,10455
1972,21-24 years,All,Scotland,2017/18,Lower second class honours,2900
1973,21-24 years,All,Scotland,2017/18,Third class honours/Pass,415
1974,21-24 years,All,Scotland,2017/18,Unclassified,4240
1975,21-24 years,All,Wales,2017/18,First class honours,3620
1976,21-24 years,All,Wales,2017/18,Upper second class honours,6910
1977,21-24 years,All,Wales,2017/18,Lower second class honours,2655
1978,21-24 years,All,Wales,2017/18,Third class honours/Pass,390
1979,21-24 years,All,Wales,2017/18,Unclassified,290
1980,21-24 years,All,England,2018/19,First class honours,64450
1981,21-24 years,All,England,2018/19,Upper second class honours,112020
1982,21-24 years,All,England,2018/19,Lower second class honours,38020
1983,21-24 years,All,England,2018/19,Third class honours/Pass,7440
1984,21-24 years,All,England,2018/19,Unclassified,5770
1985,21-24 years,All,Northern Ireland,2018/19,First class honours,1805
1986,21-24 years,All,Northern Ireland,2018/19,Upper second class honours,3605
1987,21-24 years,All,Northern Ireland,2018/19,Lower second class honours,1030
1988,21-24 years,All,Northern Ireland,2018/19,Third class honours/Pass,100
1989,21-24 years,All,Northern Ireland,2018/19,Unclassified,145
1990,21-24 years,All,Scotland,2018/19,First class honours,4960
1991,21-24 years,All,Scotland,2018/19,Upper second class honours,10030
1992,21-24 years,All,Scotland,2018/19,Lower second class honours,2860
1993,21-24 years,All,Scotland,2018/19,Third class honours/Pass,395
1994,21-24 years,All,Scotland,2018/19,Unclassified,4295
1995,21-24 years,All,Wales,2018/19,First class honours,3750
1996,21-24 years,All,Wales,2018/19,Upper second class honours,6940
1997,21-24 years,All,Wales,2018/19,Lower second class honours,2610
1998,21-24 years,All,Wales,2018/19,Third class honours/Pass,365
1999,21-24 years,All,Wales,2018/19,Unclassified,290
2000,21-24 years,All,England,2019/20,First class honours,79450
2001,21-24 years,All,England,2019/20,Upper second class honours,106855
2002,21-24 years,All,England,2019/20,Lower second class honours,29170
2003,21-24 years,All,England,2019/20,Third class honours/Pass,4650
2004,21-24 years,All,England,2019/20,Unclassified,5755
2005,21-24 years,All,Northern Ireland,2019/20,First class honours,2080
2006,21-24 years,All,Northern Ireland,2019/20,Upper second class honours,3545
2007,21-24 years,All,Northern Ireland,2019/20,Lower second class honours,775
2008,21-24 years,All,Northern Ireland,2019/20,Third class honours/Pass,50
2009,21-24 years,All,Northern Ireland,2019/20,Unclassified,120
2010,21-24 years,All,Scotland,2019/20,First class honours,6400
2011,21-24 years,All,Scotland,2019/20,Upper second class honours,9775
2012,21-24 years,All,Scotland,2019/20,Lower second class honours,2185
2013,21-24 years,All,Scotland,2019/20,Third class honours/Pass,285
2014,21-24 years,All,Scotland,2019/20,Unclassified,3655
2015,21-24 years,All,Wales,2019/20,First class honours,4835
2016,21-24 years,All,Wales,2019/20,Upper second class honours,6740
2017,21-24 years,All,Wales,2019/20,Lower second class honours,2055
2018,21-24 years,All,Wales,2019/20,Third class honours/Pass,290
2019,21-24 years,All,Wales,2019/20,Unclassified,270
2020,21-24 years,All,All,2014/15,First class honours,53125
2021,21-24 years,All,All,2014/15,Upper second class honours,125095
2022,21-24 years,All,All,2014/15,Lower second class honours,48225
2023,21-24 years,All,All,2014/15,Third class honours/Pass,8945
2024,21-24 years,All,All,2014/15,Unclassified,11195
2025,21-24 years,All,All,2015/16,First class honours,58415
2026,21-24 years,All,All,2015/16,Upper second class honours,128295
2027,21-24 years,All,All,2015/16,Lower second class honours,47250
2028,21-24 years,All,All,2015/16,Third class honours/Pass,8645
2029,21-24 years,All,All,2015/16,Unclassified,10890
2030,21-24 years,All,All,2016/17,First class honours,66495
2031,21-24 years,All,All,2016/17,Upper second class honours,131545
2032,21-24 years,All,All,2016/17,Lower second class honours,45675
2033,21-24 years,All,All,2016/17,Third class honours/Pass,8540
2034,21-24 years,All,All,2016/17,Unclassified,10470
2035,21-24 years,All,All,2017/18,First class honours,73255
2036,21-24 years,All,All,2017/18,Upper second class honours,131825
2037,21-24 years,All,All,2017/18,Lower second class honours,44060
2038,21-24 years,All,All,2017/18,Third class honours/Pass,8135
2039,21-24 years,All,All,2017/18,Unclassified,10500
2040,21-24 years,All,All,2018/19,First class honours,74960
2041,21-24 years,All,All,2018/19,Upper second class honours,132590
2042,21-24 years,All,All,2018/19,Lower second class honours,44520
2043,21-24 years,All,All,2018/19,Third class honours/Pass,8295
2044,21-24 years,All,All,2018/19,Unclassified,10500
2045,21-24 years,All,All,2019/20,First class honours,92765
2046,21-24 years,All,All,2019/20,Upper second class honours,126915
2047,21-24 years,All,All,2019/20,Lower second class honours,34190
2048,21-24 years,All,All,2019/20,Third class honours/Pass,5275
2049,21-24 years,All,All,2019/20,Unclassified,9800
2050,21-24 years,Full-time,All,2014/15,First class honours,52490
2051,21-24 years,Full-time,All,2014/15,Upper second class honours,123260
2052,21-24 years,Full-time,All,2014/15,Lower second class honours,46085
2053,21-24 years,Full-time,All,2014/15,Third class honours/Pass,7755
2054,21-24 years,Full-time,All,2014/15,Unclassified,10570
2055,21-24 years,Full-time,All,2015/16,First class honours,57725
2056,21-24 years,Full-time,All,2015/16,Upper second class honours,126585
2057,21-24 years,Full-time,All,2015/16,Lower second class honours,45355
2058,21-24 years,Full-time,All,2015/16,Third class honours/Pass,7540
2059,21-24 years,Full-time,All,2015/16,Unclassified,10435
2060,21-24 years,Full-time,All,2016/17,First class honours,65835
2061,21-24 years,Full-time,All,2016/17,Upper second class honours,129945
2062,21-24 years,Full-time,All,2016/17,Lower second class honours,43850
2063,21-24 years,Full-time,All,2016/17,Third class honours/Pass,7560
2064,21-24 years,Full-time,All,2016/17,Unclassified,10125
2065,21-24 years,Full-time,All,2017/18,First class honours,72400
2066,21-24 years,Full-time,All,2017/18,Upper second class honours,130215
2067,21-24 years,Full-time,All,2017/18,Lower second class honours,42350
2068,21-24 years,Full-time,All,2017/18,Third class honours/Pass,7145
2069,21-24 years,Full-time,All,2017/18,Unclassified,10185
2070,21-24 years,Full-time,All,2018/19,First class honours,73990
2071,21-24 years,Full-time,All,2018/19,Upper second class honours,130765
2072,21-24 years,Full-time,All,2018/19,Lower second class honours,42785
2073,21-24 years,Full-time,All,2018/19,Third class honours/Pass,7325
2074,21-24 years,Full-time,All,2018/19,Unclassified,10165
2075,21-24 years,Full-time,All,2019/20,First class honours,91770
2076,21-24 years,Full-time,All,2019/20,Upper second class honours,125240
2077,21-24 years,Full-time,All,2019/20,Lower second class honours,32585
2078,21-24 years,Full-time,All,2019/20,Third class honours/Pass,4490
2079,21-24 years,Full-time,All,2019/20,Unclassified,9525
2080,21-24 years,Part-time,All,2014/15,First class honours,635
2081,21-24 years,Part-time,All,2014/15,Upper second class honours,1835
2082,21-24 years,Part-time,All,2014/15,Lower second class honours,2140
2083,21-24 years,Part-time,All,2014/15,Third class honours/Pass,1190
2084,21-24 years,Part-time,All,2014/15,Unclassified,625
2085,21-24 years,Part-time,All,2015/16,First class honours,685
2086,21-24 years,Part-time,All,2015/16,Upper second class honours,1710
2087,21-24 years,Part-time,All,2015/16,Lower second class honours,1895
2088,21-24 years,Part-time,All,2015/16,Third class honours/Pass,1100
2089,21-24 years,Part-time,All,2015/16,Unclassified,455
2090,21-24 years,Part-time,All,2016/17,First class honours,660
2091,21-24 years,Part-time,All,2016/17,Upper second class honours,1600
2092,21-24 years,Part-time,All,2016/17,Lower second class honours,1825
2093,21-24 years,Part-time,All,2016/17,Third class honours/Pass,980
2094,21-24 years,Part-time,All,2016/17,Unclassified,345
2095,21-24 years,Part-time,All,2017/18,First class honours,855
2096,21-24 years,Part-time,All,2017/18,Upper second class honours,1605
2097,21-24 years,Part-time,All,2017/18,Lower second class honours,1710
2098,21-24 years,Part-time,All,2017/18,Third class honours/Pass,990
2099,21-24 years,Part-time,All,2017/18,Unclassified,315
2100,21-24 years,Part-time,All,2018/19,First class honours,970
2101,21-24 years,Part-time,All,2018/19,Upper second class honours,1825
2102,21-24 years,Part-time,All,2018/19,Lower second class honours,1735
2103,21-24 years,Part-time,All,2018/19,Third class honours/Pass,970
2104,21-24 years,Part-time,All,2018/19,Unclassified,335
2105,21-24 years,Part-time,All,2019/20,First class honours,995
2106,21-24 years,Part-time,All,2019/20,Upper second class honours,1675
2107,21-24 years,Part-time,All,2019/20,Lower second class honours,1605
2108,21-24 years,Part-time,All,2019/20,Third class honours/Pass,785
2109,21-24 years,Part-time,All,2019/20,Unclassified,270
2110,25-29 years,Full-time,England,2014/15,First class honours,4100
2111,25-29 years,Full-time,England,2014/15,Upper second class honours,7040
2112,25-29 years,Full-time,England,2014/15,Lower second class honours,4105
2113,25-29 years,Full-time,England,2014/15,Third class honours/Pass,1205
2114,25-29 years,Full-time,England,2014/15,Unclassified,2435
2115,25-29 years,Part-time,England,2014/15,First class honours,970
2116,25-29 years,Part-time,England,2014/15,Upper second class honours,1855
2117,25-29 years,Part-time,England,2014/15,Lower second class honours,1450
