,Religious belief,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
7716,Hindu,Part-time,England,2018/19,Upper second class honours,30
7717,Hindu,Part-time,England,2018/19,Lower second class honours,65
7718,Hindu,Part-time,England,2018/19,Third class honours/Pass,35
7719,Hindu,Part-time,England,2018/19,Unclassified,15
7720,Hindu,Full-time,Northern Ireland,2018/19,First class honours,5
7721,Hindu,Full-time,Northern Ireland,2018/19,Upper second class honours,0
7722,Hindu,Full-time,Northern Ireland,2018/19,Lower second class honours,0
7723,Hindu,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
7724,Hindu,Full-time,Northern Ireland,2018/19,Unclassified,5
7725,Hindu,Part-time,Northern Ireland,2018/19,First class honours,0
7726,Hindu,Part-time,Northern Ireland,2018/19,Upper second class honours,0
7727,Hindu,Part-time,Northern Ireland,2018/19,Lower second class honours,0
7728,Hindu,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
7729,Hindu,Part-time,Northern Ireland,2018/19,Unclassified,0
7730,Hindu,Full-time,Scotland,2018/19,First class honours,10
7731,Hindu,Full-time,Scotland,2018/19,Upper second class honours,35
7732,Hindu,Full-time,Scotland,2018/19,Lower second class honours,15
7733,Hindu,Full-time,Scotland,2018/19,Third class honours/Pass,0
7734,Hindu,Full-time,Scotland,2018/19,Unclassified,20
7735,Hindu,Part-time,Scotland,2018/19,First class honours,0
7736,Hindu,Part-time,Scotland,2018/19,Upper second class honours,0
7737,Hindu,Part-time,Scotland,2018/19,Lower second class honours,0
7738,Hindu,Part-time,Scotland,2018/19,Third class honours/Pass,0
7739,Hindu,Part-time,Scotland,2018/19,Unclassified,0
7740,Hindu,Full-time,Wales,2018/19,First class honours,30
7741,Hindu,Full-time,Wales,2018/19,Upper second class honours,50
7742,Hindu,Full-time,Wales,2018/19,Lower second class honours,30
7743,Hindu,Full-time,Wales,2018/19,Third class honours/Pass,0
7744,Hindu,Full-time,Wales,2018/19,Unclassified,5
7745,Hindu,Part-time,Wales,2018/19,First class honours,0
7746,Hindu,Part-time,Wales,2018/19,Upper second class honours,0
7747,Hindu,Part-time,Wales,2018/19,Lower second class honours,0
7748,Hindu,Part-time,Wales,2018/19,Third class honours/Pass,0
7749,Hindu,Part-time,Wales,2018/19,Unclassified,0
7750,Hindu,Full-time,England,2019/20,First class honours,1705
7751,Hindu,Full-time,England,2019/20,Upper second class honours,2355
7752,Hindu,Full-time,England,2019/20,Lower second class honours,735
7753,Hindu,Full-time,England,2019/20,Third class honours/Pass,110
7754,Hindu,Full-time,England,2019/20,Unclassified,455
7755,Hindu,Part-time,England,2019/20,First class honours,20
7756,Hindu,Part-time,England,2019/20,Upper second class honours,60
7757,Hindu,Part-time,England,2019/20,Lower second class honours,75
7758,Hindu,Part-time,England,2019/20,Third class honours/Pass,45
7759,Hindu,Part-time,England,2019/20,Unclassified,10
7760,Hindu,Full-time,Northern Ireland,2019/20,First class honours,0
7761,Hindu,Full-time,Northern Ireland,2019/20,Upper second class honours,5
7762,Hindu,Full-time,Northern Ireland,2019/20,Lower second class honours,0
7763,Hindu,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
7764,Hindu,Full-time,Northern Ireland,2019/20,Unclassified,5
7765,Hindu,Part-time,Northern Ireland,2019/20,First class honours,0
7766,Hindu,Part-time,Northern Ireland,2019/20,Upper second class honours,0
7767,Hindu,Part-time,Northern Ireland,2019/20,Lower second class honours,0
7768,Hindu,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
7769,Hindu,Part-time,Northern Ireland,2019/20,Unclassified,0
7770,Hindu,Full-time,Scotland,2019/20,First class honours,20
7771,Hindu,Full-time,Scotland,2019/20,Upper second class honours,45
7772,Hindu,Full-time,Scotland,2019/20,Lower second class honours,15
7773,Hindu,Full-time,Scotland,2019/20,Third class honours/Pass,0
7774,Hindu,Full-time,Scotland,2019/20,Unclassified,40
7775,Hindu,Part-time,Scotland,2019/20,First class honours,0
7776,Hindu,Part-time,Scotland,2019/20,Upper second class honours,0
7777,Hindu,Part-time,Scotland,2019/20,Lower second class honours,0
7778,Hindu,Part-time,Scotland,2019/20,Third class honours/Pass,0
7779,Hindu,Part-time,Scotland,2019/20,Unclassified,0
7780,Hindu,Full-time,Wales,2019/20,First class honours,35
7781,Hindu,Full-time,Wales,2019/20,Upper second class honours,70
7782,Hindu,Full-time,Wales,2019/20,Lower second class honours,25
7783,Hindu,Full-time,Wales,2019/20,Third class honours/Pass,0
7784,Hindu,Full-time,Wales,2019/20,Unclassified,20
7785,Hindu,All,England,2018/19,First class honours,1280
7786,Hindu,All,England,2018/19,Upper second class honours,2475
7787,Hindu,All,England,2018/19,Lower second class honours,1030
7788,Hindu,All,England,2018/19,Third class honours/Pass,250
7789,Hindu,All,England,2018/19,Unclassified,490
7790,Hindu,All,Northern Ireland,2018/19,First class honours,5
7791,Hindu,All,Northern Ireland,2018/19,Upper second class honours,5
7792,Hindu,All,Northern Ireland,2018/19,Lower second class honours,5
7793,Hindu,All,Northern Ireland,2018/19,Third class honours/Pass,0
7794,Hindu,All,Northern Ireland,2018/19,Unclassified,5
7795,Hindu,All,Scotland,2018/19,First class honours,10
7796,Hindu,All,Scotland,2018/19,Upper second class honours,35
7797,Hindu,All,Scotland,2018/19,Lower second class honours,15
7798,Hindu,All,Scotland,2018/19,Third class honours/Pass,0
7799,Hindu,All,Scotland,2018/19,Unclassified,20
7800,Hindu,All,Wales,2018/19,First class honours,30
7801,Hindu,All,Wales,2018/19,Upper second class honours,55
7802,Hindu,All,Wales,2018/19,Lower second class honours,30
7803,Hindu,All,Wales,2018/19,Third class honours/Pass,0
7804,Hindu,All,Wales,2018/19,Unclassified,5
7805,Hindu,All,England,2019/20,First class honours,1725
7806,Hindu,All,England,2019/20,Upper second class honours,2415
7807,Hindu,All,England,2019/20,Lower second class honours,810
7808,Hindu,All,England,2019/20,Third class honours/Pass,155
7809,Hindu,All,England,2019/20,Unclassified,465
7810,Hindu,All,Northern Ireland,2019/20,First class honours,0
7811,Hindu,All,Northern Ireland,2019/20,Upper second class honours,5
7812,Hindu,All,Northern Ireland,2019/20,Lower second class honours,0
7813,Hindu,All,Northern Ireland,2019/20,Third class honours/Pass,0
7814,Hindu,All,Northern Ireland,2019/20,Unclassified,5
7815,Hindu,All,Scotland,2019/20,First class honours,20
7816,Hindu,All,Scotland,2019/20,Upper second class honours,45
7817,Hindu,All,Scotland,2019/20,Lower second class honours,15
7818,Hindu,All,Scotland,2019/20,Third class honours/Pass,0
7819,Hindu,All,Scotland,2019/20,Unclassified,45
7820,Hindu,All,Wales,2019/20,First class honours,35
7821,Hindu,All,Wales,2019/20,Upper second class honours,70
7822,Hindu,All,Wales,2019/20,Lower second class honours,25
7823,Hindu,All,Wales,2019/20,Third class honours/Pass,0
7824,Hindu,All,Wales,2019/20,Unclassified,20
7825,Hindu,All,All,2018/19,First class honours,1325
7826,Hindu,All,All,2018/19,Upper second class honours,2565
7827,Hindu,All,All,2018/19,Lower second class honours,1080
7828,Hindu,All,All,2018/19,Third class honours/Pass,255
7829,Hindu,All,All,2018/19,Unclassified,525
7830,Hindu,All,All,2019/20,First class honours,1780
7831,Hindu,All,All,2019/20,Upper second class honours,2530
7832,Hindu,All,All,2019/20,Lower second class honours,850
7833,Hindu,All,All,2019/20,Third class honours/Pass,160
7834,Hindu,All,All,2019/20,Unclassified,530
7835,Hindu,Full-time,All,2018/19,First class honours,1305
7836,Hindu,Full-time,All,2018/19,Upper second class honours,2535
7837,Hindu,Full-time,All,2018/19,Lower second class honours,1015
7838,Hindu,Full-time,All,2018/19,Third class honours/Pass,220
7839,Hindu,Full-time,All,2018/19,Unclassified,505
7840,Hindu,Full-time,All,2019/20,First class honours,1760
7841,Hindu,Full-time,All,2019/20,Upper second class honours,2470
7842,Hindu,Full-time,All,2019/20,Lower second class honours,770
7843,Hindu,Full-time,All,2019/20,Third class honours/Pass,115
7844,Hindu,Full-time,All,2019/20,Unclassified,520
7845,Hindu,Part-time,All,2018/19,First class honours,20
7846,Hindu,Part-time,All,2018/19,Upper second class honours,30
7847,Hindu,Part-time,All,2018/19,Lower second class honours,65
7848,Hindu,Part-time,All,2018/19,Third class honours/Pass,35
7849,Hindu,Part-time,All,2018/19,Unclassified,20
7850,Hindu,Part-time,All,2019/20,First class honours,25
7851,Hindu,Part-time,All,2019/20,Upper second class honours,60
7852,Hindu,Part-time,All,2019/20,Lower second class honours,80
7853,Hindu,Part-time,All,2019/20,Third class honours/Pass,45
7854,Hindu,Part-time,All,2019/20,Unclassified,10
7855,Jewish,Full-time,England,2018/19,First class honours,425
7856,Jewish,Full-time,England,2018/19,Upper second class honours,715
7857,Jewish,Full-time,England,2018/19,Lower second class honours,150
7858,Jewish,Full-time,England,2018/19,Third class honours/Pass,10
7859,Jewish,Full-time,England,2018/19,Unclassified,50
7860,Jewish,Part-time,England,2018/19,First class honours,15
7861,Jewish,Part-time,England,2018/19,Upper second class honours,20
7862,Jewish,Part-time,England,2018/19,Lower second class honours,10
7863,Jewish,Part-time,England,2018/19,Third class honours/Pass,5
7864,Jewish,Part-time,England,2018/19,Unclassified,0
7865,Jewish,Full-time,Northern Ireland,2018/19,First class honours,0
7866,Jewish,Full-time,Northern Ireland,2018/19,Upper second class honours,0
7867,Jewish,Full-time,Northern Ireland,2018/19,Lower second class honours,0
7868,Jewish,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
7869,Jewish,Full-time,Northern Ireland,2018/19,Unclassified,0
7870,Jewish,Part-time,Northern Ireland,2018/19,First class honours,0
7871,Jewish,Part-time,Northern Ireland,2018/19,Upper second class honours,0
7872,Jewish,Part-time,Northern Ireland,2018/19,Lower second class honours,0
7873,Jewish,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
7874,Jewish,Part-time,Northern Ireland,2018/19,Unclassified,0
7875,Jewish,Full-time,Scotland,2018/19,First class honours,20
7876,Jewish,Full-time,Scotland,2018/19,Upper second class honours,30
7877,Jewish,Full-time,Scotland,2018/19,Lower second class honours,0
7878,Jewish,Full-time,Scotland,2018/19,Third class honours/Pass,0
7879,Jewish,Full-time,Scotland,2018/19,Unclassified,10
7880,Jewish,Part-time,Scotland,2018/19,First class honours,0
7881,Jewish,Part-time,Scotland,2018/19,Upper second class honours,0
7882,Jewish,Part-time,Scotland,2018/19,Lower second class honours,0
7883,Jewish,Part-time,Scotland,2018/19,Third class honours/Pass,0
7884,Jewish,Part-time,Scotland,2018/19,Unclassified,0
7885,Jewish,Full-time,Wales,2018/19,First class honours,5
7886,Jewish,Full-time,Wales,2018/19,Upper second class honours,10
7887,Jewish,Full-time,Wales,2018/19,Lower second class honours,0
7888,Jewish,Full-time,Wales,2018/19,Third class honours/Pass,0
7889,Jewish,Full-time,Wales,2018/19,Unclassified,0
7890,Jewish,Full-time,England,2019/20,First class honours,550
7891,Jewish,Full-time,England,2019/20,Upper second class honours,685
7892,Jewish,Full-time,England,2019/20,Lower second class honours,120
7893,Jewish,Full-time,England,2019/20,Third class honours/Pass,15
7894,Jewish,Full-time,England,2019/20,Unclassified,65
7895,Jewish,Part-time,England,2019/20,First class honours,5
7896,Jewish,Part-time,England,2019/20,Upper second class honours,10
7897,Jewish,Part-time,England,2019/20,Lower second class honours,10
7898,Jewish,Part-time,England,2019/20,Third class honours/Pass,0
7899,Jewish,Part-time,England,2019/20,Unclassified,0
7900,Jewish,Full-time,Northern Ireland,2019/20,First class honours,0
7901,Jewish,Full-time,Northern Ireland,2019/20,Upper second class honours,0
7902,Jewish,Full-time,Northern Ireland,2019/20,Lower second class honours,0
7903,Jewish,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
7904,Jewish,Full-time,Northern Ireland,2019/20,Unclassified,0
7905,Jewish,Full-time,Scotland,2019/20,First class honours,30
7906,Jewish,Full-time,Scotland,2019/20,Upper second class honours,25
7907,Jewish,Full-time,Scotland,2019/20,Lower second class honours,5
7908,Jewish,Full-time,Scotland,2019/20,Third class honours/Pass,0
7909,Jewish,Full-time,Scotland,2019/20,Unclassified,10
7910,Jewish,Part-time,Scotland,2019/20,First class honours,0
7911,Jewish,Part-time,Scotland,2019/20,Upper second class honours,0
7912,Jewish,Part-time,Scotland,2019/20,Lower second class honours,0
7913,Jewish,Part-time,Scotland,2019/20,Third class honours/Pass,0
7914,Jewish,Part-time,Scotland,2019/20,Unclassified,0
7915,Jewish,Full-time,Wales,2019/20,First class honours,10
7916,Jewish,Full-time,Wales,2019/20,Upper second class honours,10
7917,Jewish,Full-time,Wales,2019/20,Lower second class honours,0
7918,Jewish,Full-time,Wales,2019/20,Third class honours/Pass,0
7919,Jewish,Full-time,Wales,2019/20,Unclassified,0
7920,Jewish,All,England,2018/19,First class honours,440
7921,Jewish,All,England,2018/19,Upper second class honours,735
7922,Jewish,All,England,2018/19,Lower second class honours,165
7923,Jewish,All,England,2018/19,Third class honours/Pass,15
7924,Jewish,All,England,2018/19,Unclassified,50
7925,Jewish,All,Northern Ireland,2018/19,First class honours,0
7926,Jewish,All,Northern Ireland,2018/19,Upper second class honours,0
7927,Jewish,All,Northern Ireland,2018/19,Lower second class honours,0
7928,Jewish,All,Northern Ireland,2018/19,Third class honours/Pass,0
7929,Jewish,All,Northern Ireland,2018/19,Unclassified,0
7930,Jewish,All,Scotland,2018/19,First class honours,20
7931,Jewish,All,Scotland,2018/19,Upper second class honours,30
7932,Jewish,All,Scotland,2018/19,Lower second class honours,5
7933,Jewish,All,Scotland,2018/19,Third class honours/Pass,0
7934,Jewish,All,Scotland,2018/19,Unclassified,10
7935,Jewish,All,Wales,2018/19,First class honours,5
7936,Jewish,All,Wales,2018/19,Upper second class honours,10
7937,Jewish,All,Wales,2018/19,Lower second class honours,0
7938,Jewish,All,Wales,2018/19,Third class honours/Pass,0
7939,Jewish,All,Wales,2018/19,Unclassified,0
7940,Jewish,All,England,2019/20,First class honours,555
7941,Jewish,All,England,2019/20,Upper second class honours,695
7942,Jewish,All,England,2019/20,Lower second class honours,135
7943,Jewish,All,England,2019/20,Third class honours/Pass,20
7944,Jewish,All,England,2019/20,Unclassified,65
7945,Jewish,All,Northern Ireland,2019/20,First class honours,0
7946,Jewish,All,Northern Ireland,2019/20,Upper second class honours,0
7947,Jewish,All,Northern Ireland,2019/20,Lower second class honours,0
7948,Jewish,All,Northern Ireland,2019/20,Third class honours/Pass,0
7949,Jewish,All,Northern Ireland,2019/20,Unclassified,0
7950,Jewish,All,Scotland,2019/20,First class honours,30
7951,Jewish,All,Scotland,2019/20,Upper second class honours,25
7952,Jewish,All,Scotland,2019/20,Lower second class honours,5
7953,Jewish,All,Scotland,2019/20,Third class honours/Pass,0
7954,Jewish,All,Scotland,2019/20,Unclassified,10
7955,Jewish,All,Wales,2019/20,First class honours,10
7956,Jewish,All,Wales,2019/20,Upper second class honours,10
7957,Jewish,All,Wales,2019/20,Lower second class honours,0
7958,Jewish,All,Wales,2019/20,Third class honours/Pass,0
7959,Jewish,All,Wales,2019/20,Unclassified,0
7960,Jewish,All,All,2018/19,First class honours,465
7961,Jewish,All,All,2018/19,Upper second class honours,775
7962,Jewish,All,All,2018/19,Lower second class honours,170
7963,Jewish,All,All,2018/19,Third class honours/Pass,20
7964,Jewish,All,All,2018/19,Unclassified,60
7965,Jewish,All,All,2019/20,First class honours,595
7966,Jewish,All,All,2019/20,Upper second class honours,735
7967,Jewish,All,All,2019/20,Lower second class honours,135
7968,Jewish,All,All,2019/20,Third class honours/Pass,20
7969,Jewish,All,All,2019/20,Unclassified,75
7970,Jewish,Full-time,All,2018/19,First class honours,455
7971,Jewish,Full-time,All,2018/19,Upper second class honours,755
7972,Jewish,Full-time,All,2018/19,Lower second class honours,155
7973,Jewish,Full-time,All,2018/19,Third class honours/Pass,15
7974,Jewish,Full-time,All,2018/19,Unclassified,55
7975,Jewish,Full-time,All,2019/20,First class honours,590
7976,Jewish,Full-time,All,2019/20,Upper second class honours,725
7977,Jewish,Full-time,All,2019/20,Lower second class honours,125
7978,Jewish,Full-time,All,2019/20,Third class honours/Pass,20
7979,Jewish,Full-time,All,2019/20,Unclassified,75
7980,Jewish,Part-time,All,2018/19,First class honours,15
7981,Jewish,Part-time,All,2018/19,Upper second class honours,20
7982,Jewish,Part-time,All,2018/19,Lower second class honours,15
7983,Jewish,Part-time,All,2018/19,Third class honours/Pass,5
7984,Jewish,Part-time,All,2018/19,Unclassified,0
7985,Jewish,Part-time,All,2019/20,First class honours,5
7986,Jewish,Part-time,All,2019/20,Upper second class honours,10
7987,Jewish,Part-time,All,2019/20,Lower second class honours,10
7988,Jewish,Part-time,All,2019/20,Third class honours/Pass,0
7989,Jewish,Part-time,All,2019/20,Unclassified,0
7990,Muslim,Full-time,England,2018/19,First class honours,4665
7991,Muslim,Full-time,England,2018/19,Upper second class honours,10675
7992,Muslim,Full-time,England,2018/19,Lower second class honours,6235
7993,Muslim,Full-time,England,2018/19,Third class honours/Pass,1405
7994,Muslim,Full-time,England,2018/19,Unclassified,885
7995,Muslim,Part-time,England,2018/19,First class honours,90
7996,Muslim,Part-time,England,2018/19,Upper second class honours,320
7997,Muslim,Part-time,England,2018/19,Lower second class honours,475
7998,Muslim,Part-time,England,2018/19,Third class honours/Pass,310
7999,Muslim,Part-time,England,2018/19,Unclassified,80
8000,Muslim,Full-time,Northern Ireland,2018/19,First class honours,5
8001,Muslim,Full-time,Northern Ireland,2018/19,Upper second class honours,10
8002,Muslim,Full-time,Northern Ireland,2018/19,Lower second class honours,10
8003,Muslim,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
8004,Muslim,Full-time,Northern Ireland,2018/19,Unclassified,5
8005,Muslim,Part-time,Northern Ireland,2018/19,First class honours,0
8006,Muslim,Part-time,Northern Ireland,2018/19,Upper second class honours,0
8007,Muslim,Part-time,Northern Ireland,2018/19,Lower second class honours,0
8008,Muslim,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
8009,Muslim,Part-time,Northern Ireland,2018/19,Unclassified,0
8010,Muslim,Full-time,Scotland,2018/19,First class honours,90
8011,Muslim,Full-time,Scotland,2018/19,Upper second class honours,315
8012,Muslim,Full-time,Scotland,2018/19,Lower second class honours,140
8013,Muslim,Full-time,Scotland,2018/19,Third class honours/Pass,20
8014,Muslim,Full-time,Scotland,2018/19,Unclassified,260
8015,Muslim,Part-time,Scotland,2018/19,First class honours,0
8016,Muslim,Part-time,Scotland,2018/19,Upper second class honours,5
8017,Muslim,Part-time,Scotland,2018/19,Lower second class honours,10
8018,Muslim,Part-time,Scotland,2018/19,Third class honours/Pass,5
8019,Muslim,Part-time,Scotland,2018/19,Unclassified,20
8020,Muslim,Full-time,Wales,2018/19,First class honours,70
8021,Muslim,Full-time,Wales,2018/19,Upper second class honours,220
8022,Muslim,Full-time,Wales,2018/19,Lower second class honours,135
8023,Muslim,Full-time,Wales,2018/19,Third class honours/Pass,20
8024,Muslim,Full-time,Wales,2018/19,Unclassified,20
8025,Muslim,Part-time,Wales,2018/19,First class honours,0
8026,Muslim,Part-time,Wales,2018/19,Upper second class honours,0
8027,Muslim,Part-time,Wales,2018/19,Lower second class honours,0
8028,Muslim,Part-time,Wales,2018/19,Third class honours/Pass,0
8029,Muslim,Part-time,Wales,2018/19,Unclassified,0
8030,Muslim,Full-time,England,2019/20,First class honours,6790
8031,Muslim,Full-time,England,2019/20,Upper second class honours,11510
8032,Muslim,Full-time,England,2019/20,Lower second class honours,5000
8033,Muslim,Full-time,England,2019/20,Third class honours/Pass,1005
8034,Muslim,Full-time,England,2019/20,Unclassified,1090
8035,Muslim,Part-time,England,2019/20,First class honours,105
8036,Muslim,Part-time,England,2019/20,Upper second class honours,285
8037,Muslim,Part-time,England,2019/20,Lower second class honours,490
8038,Muslim,Part-time,England,2019/20,Third class honours/Pass,290
8039,Muslim,Part-time,England,2019/20,Unclassified,70
8040,Muslim,Full-time,Northern Ireland,2019/20,First class honours,5
8041,Muslim,Full-time,Northern Ireland,2019/20,Upper second class honours,15
8042,Muslim,Full-time,Northern Ireland,2019/20,Lower second class honours,0
8043,Muslim,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
8044,Muslim,Full-time,Northern Ireland,2019/20,Unclassified,5
8045,Muslim,Part-time,Northern Ireland,2019/20,First class honours,0
8046,Muslim,Part-time,Northern Ireland,2019/20,Upper second class honours,0
8047,Muslim,Part-time,Northern Ireland,2019/20,Lower second class honours,0
8048,Muslim,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
8049,Muslim,Part-time,Northern Ireland,2019/20,Unclassified,0
8050,Muslim,Full-time,Scotland,2019/20,First class honours,165
8051,Muslim,Full-time,Scotland,2019/20,Upper second class honours,330
8052,Muslim,Full-time,Scotland,2019/20,Lower second class honours,110
8053,Muslim,Full-time,Scotland,2019/20,Third class honours/Pass,15
8054,Muslim,Full-time,Scotland,2019/20,Unclassified,210
8055,Muslim,Part-time,Scotland,2019/20,First class honours,0
8056,Muslim,Part-time,Scotland,2019/20,Upper second class honours,0
8057,Muslim,Part-time,Scotland,2019/20,Lower second class honours,5
8058,Muslim,Part-time,Scotland,2019/20,Third class honours/Pass,5
8059,Muslim,Part-time,Scotland,2019/20,Unclassified,20
8060,Muslim,Full-time,Wales,2019/20,First class honours,115
8061,Muslim,Full-time,Wales,2019/20,Upper second class honours,300
8062,Muslim,Full-time,Wales,2019/20,Lower second class honours,135
8063,Muslim,Full-time,Wales,2019/20,Third class honours/Pass,20
8064,Muslim,Full-time,Wales,2019/20,Unclassified,25
8065,Muslim,Part-time,Wales,2019/20,First class honours,0
8066,Muslim,Part-time,Wales,2019/20,Upper second class honours,0
8067,Muslim,Part-time,Wales,2019/20,Lower second class honours,5
8068,Muslim,Part-time,Wales,2019/20,Third class honours/Pass,0
8069,Muslim,Part-time,Wales,2019/20,Unclassified,0
8070,Muslim,All,England,2018/19,First class honours,4755
8071,Muslim,All,England,2018/19,Upper second class honours,10990
8072,Muslim,All,England,2018/19,Lower second class honours,6710
8073,Muslim,All,England,2018/19,Third class honours/Pass,1715
8074,Muslim,All,England,2018/19,Unclassified,970
8075,Muslim,All,Northern Ireland,2018/19,First class honours,5
8076,Muslim,All,Northern Ireland,2018/19,Upper second class honours,10
8077,Muslim,All,Northern Ireland,2018/19,Lower second class honours,10
8078,Muslim,All,Northern Ireland,2018/19,Third class honours/Pass,0
8079,Muslim,All,Northern Ireland,2018/19,Unclassified,5
8080,Muslim,All,Scotland,2018/19,First class honours,95
8081,Muslim,All,Scotland,2018/19,Upper second class honours,325
8082,Muslim,All,Scotland,2018/19,Lower second class honours,150
8083,Muslim,All,Scotland,2018/19,Third class honours/Pass,25
8084,Muslim,All,Scotland,2018/19,Unclassified,280
8085,Muslim,All,Wales,2018/19,First class honours,75
8086,Muslim,All,Wales,2018/19,Upper second class honours,220
8087,Muslim,All,Wales,2018/19,Lower second class honours,140
8088,Muslim,All,Wales,2018/19,Third class honours/Pass,25
8089,Muslim,All,Wales,2018/19,Unclassified,20
8090,Muslim,All,England,2019/20,First class honours,6895
8091,Muslim,All,England,2019/20,Upper second class honours,11795
8092,Muslim,All,England,2019/20,Lower second class honours,5490
8093,Muslim,All,England,2019/20,Third class honours/Pass,1300
8094,Muslim,All,England,2019/20,Unclassified,1155
8095,Muslim,All,Northern Ireland,2019/20,First class honours,5
8096,Muslim,All,Northern Ireland,2019/20,Upper second class honours,20
8097,Muslim,All,Northern Ireland,2019/20,Lower second class honours,5
8098,Muslim,All,Northern Ireland,2019/20,Third class honours/Pass,0
8099,Muslim,All,Northern Ireland,2019/20,Unclassified,5
8100,Muslim,All,Scotland,2019/20,First class honours,165
8101,Muslim,All,Scotland,2019/20,Upper second class honours,330
8102,Muslim,All,Scotland,2019/20,Lower second class honours,115
8103,Muslim,All,Scotland,2019/20,Third class honours/Pass,20
8104,Muslim,All,Scotland,2019/20,Unclassified,230
8105,Muslim,All,Wales,2019/20,First class honours,115
8106,Muslim,All,Wales,2019/20,Upper second class honours,300
8107,Muslim,All,Wales,2019/20,Lower second class honours,140
8108,Muslim,All,Wales,2019/20,Third class honours/Pass,20
8109,Muslim,All,Wales,2019/20,Unclassified,25
8110,Muslim,All,All,2018/19,First class honours,4925
8111,Muslim,All,All,2018/19,Upper second class honours,11545
8112,Muslim,All,All,2018/19,Lower second class honours,7010
8113,Muslim,All,All,2018/19,Third class honours/Pass,1765
8114,Muslim,All,All,2018/19,Unclassified,1275
8115,Muslim,All,All,2019/20,First class honours,7180
8116,Muslim,All,All,2019/20,Upper second class honours,12440
8117,Muslim,All,All,2019/20,Lower second class honours,5750
8118,Muslim,All,All,2019/20,Third class honours/Pass,1340
8119,Muslim,All,All,2019/20,Unclassified,1420
8120,Muslim,Full-time,All,2018/19,First class honours,4835
8121,Muslim,Full-time,All,2018/19,Upper second class honours,11215
8122,Muslim,Full-time,All,2018/19,Lower second class honours,6525
8123,Muslim,Full-time,All,2018/19,Third class honours/Pass,1450
8124,Muslim,Full-time,All,2018/19,Unclassified,1170
8125,Muslim,Full-time,All,2019/20,First class honours,7070
8126,Muslim,Full-time,All,2019/20,Upper second class honours,12155
8127,Muslim,Full-time,All,2019/20,Lower second class honours,5250
8128,Muslim,Full-time,All,2019/20,Third class honours/Pass,1040
8129,Muslim,Full-time,All,2019/20,Unclassified,1330
8130,Muslim,Part-time,All,2018/19,First class honours,90
