Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
Total,Total,All,Scotland,2018/19,Upper second class honours,12085
Total,Total,All,Scotland,2018/19,Lower second class honours,3825
Total,Total,All,Scotland,2018/19,Third class honours/Pass,700
Total,Total,All,Scotland,2018/19,Unclassified,8990
Total,Total,All,Wales,2018/19,First class honours,5200
Total,Total,All,Wales,2018/19,Upper second class honours,8670
Total,Total,All,Wales,2018/19,Lower second class honours,3480
Total,Total,All,Wales,2018/19,Third class honours/Pass,605
Total,Total,All,Wales,2018/19,Unclassified,475
Total,Total,Full-time,All,2018/19,First class honours,90745
Total,Total,Full-time,All,2018/19,Upper second class honours,154890
Total,Total,Full-time,All,2018/19,Lower second class honours,55015
Total,Total,Full-time,All,2018/19,Third class honours/Pass,10625
Total,Total,Full-time,All,2018/19,Unclassified,17035
Total,Total,Full-time,England,2018/19,First class honours,77930
Total,Total,Full-time,England,2018/19,Upper second class honours,130955
Total,Total,Full-time,England,2018/19,Lower second class honours,47070
Total,Total,Full-time,England,2018/19,Third class honours/Pass,9465
Total,Total,Full-time,England,2018/19,Unclassified,8695
Total,Total,Full-time,Northern Ireland,2018/19,First class honours,2125
Total,Total,Full-time,Northern Ireland,2018/19,Upper second class honours,4115
Total,Total,Full-time,Northern Ireland,2018/19,Lower second class honours,1205
Total,Total,Full-time,Northern Ireland,2018/19,Third class honours/Pass,125
Total,Total,Full-time,Northern Ireland,2018/19,Unclassified,230
Total,Total,Full-time,Scotland,2018/19,First class honours,5785
Total,Total,Full-time,Scotland,2018/19,Upper second class honours,11525
Total,Total,Full-time,Scotland,2018/19,Lower second class honours,3500
Total,Total,Full-time,Scotland,2018/19,Third class honours/Pass,535
Total,Total,Full-time,Scotland,2018/19,Unclassified,7675
Total,Total,Full-time,Wales,2018/19,First class honours,4905
Total,Total,Full-time,Wales,2018/19,Upper second class honours,8295
Total,Total,Full-time,Wales,2018/19,Lower second class honours,3240
Total,Total,Full-time,Wales,2018/19,Third class honours/Pass,500
Total,Total,Full-time,Wales,2018/19,Unclassified,435
Total,Total,Part-time,All,2018/19,First class honours,5215
Total,Total,Part-time,All,2018/19,Upper second class honours,8710
Total,Total,Part-time,All,2018/19,Lower second class honours,6240
Total,Total,Part-time,All,2018/19,Third class honours/Pass,3630
Total,Total,Part-time,All,2018/19,Unclassified,2480
Total,Total,Part-time,England,2018/19,First class honours,4430
Total,Total,Part-time,England,2018/19,Upper second class honours,7395
Total,Total,Part-time,England,2018/19,Lower second class honours,5470
Total,Total,Part-time,England,2018/19,Third class honours/Pass,3310
Total,Total,Part-time,England,2018/19,Unclassified,1105
Total,Total,Part-time,Northern Ireland,2018/19,First class honours,200
Total,Total,Part-time,Northern Ireland,2018/19,Upper second class honours,385
Total,Total,Part-time,Northern Ireland,2018/19,Lower second class honours,210
Total,Total,Part-time,Northern Ireland,2018/19,Third class honours/Pass,55
Total,Total,Part-time,Northern Ireland,2018/19,Unclassified,15
Total,Total,Part-time,Scotland,2018/19,First class honours,285
Total,Total,Part-time,Scotland,2018/19,Upper second class honours,560
Total,Total,Part-time,Scotland,2018/19,Lower second class honours,325
Total,Total,Part-time,Scotland,2018/19,Third class honours/Pass,160
Total,Total,Part-time,Scotland,2018/19,Unclassified,1315
Total,Total,Part-time,Wales,2018/19,First class honours,300
Total,Total,Part-time,Wales,2018/19,Upper second class honours,375
Total,Total,Part-time,Wales,2018/19,Lower second class honours,240
Total,Total,Part-time,Wales,2018/19,Third class honours/Pass,105
Total,Total,Part-time,Wales,2018/19,Unclassified,45
Total,Total,All,All,2019/20,First class honours,115475
Total,Total,All,All,2019/20,Upper second class honours,154920
Total,Total,All,All,2019/20,Lower second class honours,47195
Total,Total,All,All,2019/20,Third class honours/Pass,9300
Total,Total,All,All,2019/20,Unclassified,17535
Total,Total,All,England,2019/20,First class honours,98690
Total,Total,All,England,2019/20,Upper second class honours,130710
Total,Total,All,England,2019/20,Lower second class honours,40485
Total,Total,All,England,2019/20,Third class honours/Pass,8210
Total,Total,All,England,2019/20,Unclassified,9520
Total,Total,All,Northern Ireland,2019/20,First class honours,2590
Total,Total,All,Northern Ireland,2019/20,Upper second class honours,4305
Total,Total,All,Northern Ireland,2019/20,Lower second class honours,1085
Total,Total,All,Northern Ireland,2019/20,Third class honours/Pass,105
Total,Total,All,Northern Ireland,2019/20,Unclassified,225
Total,Total,All,Scotland,2019/20,First class honours,7670
Total,Total,All,Scotland,2019/20,Upper second class honours,11505
Total,Total,All,Scotland,2019/20,Lower second class honours,2815
Total,Total,All,Scotland,2019/20,Third class honours/Pass,520
Total,Total,All,Scotland,2019/20,Unclassified,7350
Total,Total,All,Wales,2019/20,First class honours,6520
Total,Total,All,Wales,2019/20,Upper second class honours,8400
Total,Total,All,Wales,2019/20,Lower second class honours,2810
Total,Total,All,Wales,2019/20,Third class honours/Pass,465
Total,Total,All,Wales,2019/20,Unclassified,435
Total,Total,Full-time,All,2019/20,First class honours,111010
Total,Total,Full-time,All,2019/20,Upper second class honours,149040
Total,Total,Full-time,All,2019/20,Lower second class honours,42880
Total,Total,Full-time,All,2019/20,Third class honours/Pass,7020
Total,Total,Full-time,All,2019/20,Unclassified,15730
Total,Total,Full-time,England,2019/20,First class honours,94805
Total,Total,Full-time,England,2019/20,Upper second class honours,125590
Total,Total,Full-time,England,2019/20,Lower second class honours,36615
Total,Total,Full-time,England,2019/20,Third class honours/Pass,6125
Total,Total,Full-time,England,2019/20,Unclassified,8865
Total,Total,Full-time,Northern Ireland,2019/20,First class honours,2410
Total,Total,Full-time,Northern Ireland,2019/20,Upper second class honours,4035
Total,Total,Full-time,Northern Ireland,2019/20,Lower second class honours,930
Total,Total,Full-time,Northern Ireland,2019/20,Third class honours/Pass,60
Total,Total,Full-time,Northern Ireland,2019/20,Unclassified,225
Total,Total,Full-time,Scotland,2019/20,First class honours,7510
Total,Total,Full-time,Scotland,2019/20,Upper second class honours,11255
Total,Total,Full-time,Scotland,2019/20,Lower second class honours,2660
Total,Total,Full-time,Scotland,2019/20,Third class honours/Pass,430
Total,Total,Full-time,Scotland,2019/20,Unclassified,6225
Total,Total,Full-time,Wales,2019/20,First class honours,6285
Total,Total,Full-time,Wales,2019/20,Upper second class honours,8160
Total,Total,Full-time,Wales,2019/20,Lower second class honours,2675
Total,Total,Full-time,Wales,2019/20,Third class honours/Pass,405
Total,Total,Full-time,Wales,2019/20,Unclassified,420
Total,Total,Part-time,All,2019/20,First class honours,4465
Total,Total,Part-time,All,2019/20,Upper second class honours,5880
Total,Total,Part-time,All,2019/20,Lower second class honours,4315
Total,Total,Part-time,All,2019/20,Third class honours/Pass,2275
Total,Total,Part-time,All,2019/20,Unclassified,1805
Total,Total,Part-time,England,2019/20,First class honours,3885
Total,Total,Part-time,England,2019/20,Upper second class honours,5120
Total,Total,Part-time,England,2019/20,Lower second class honours,3870
Total,Total,Part-time,England,2019/20,Third class honours/Pass,2085
Total,Total,Part-time,England,2019/20,Unclassified,660
Total,Total,Part-time,Northern Ireland,2019/20,First class honours,180
Total,Total,Part-time,Northern Ireland,2019/20,Upper second class honours,270
Total,Total,Part-time,Northern Ireland,2019/20,Lower second class honours,155
Total,Total,Part-time,Northern Ireland,2019/20,Third class honours/Pass,45
Total,Total,Part-time,Northern Ireland,2019/20,Unclassified,5
Total,Total,Part-time,Scotland,2019/20,First class honours,160
Total,Total,Part-time,Scotland,2019/20,Upper second class honours,250
Total,Total,Part-time,Scotland,2019/20,Lower second class honours,155
Total,Total,Part-time,Scotland,2019/20,Third class honours/Pass,85
Total,Total,Part-time,Scotland,2019/20,Unclassified,1125
Total,Total,Part-time,Wales,2019/20,First class honours,240
Total,Total,Part-time,Wales,2019/20,Upper second class honours,245
Total,Total,Part-time,Wales,2019/20,Lower second class honours,140
Total,Total,Part-time,Wales,2019/20,Third class honours/Pass,60
Total,Total,Part-time,Wales,2019/20,Unclassified,15
Sex,Not known,Full-time,England,2015/16,First class honours,10
Sex,Not known,Full-time,England,2015/16,Upper second class honours,20
Sex,Not known,Full-time,England,2015/16,Lower second class honours,5
Sex,Not known,Full-time,England,2015/16,Third class honours/Pass,5
Sex,Not known,Full-time,England,2015/16,Unclassified,0
Sex,Not known,Full-time,England,2016/17,First class honours,5
Sex,Not known,Full-time,England,2016/17,Upper second class honours,15
Sex,Not known,Full-time,England,2016/17,Lower second class honours,0
Sex,Not known,Full-time,England,2016/17,Third class honours/Pass,0
Sex,Not known,Full-time,England,2016/17,Unclassified,0
Sex,Not known,Full-time,England,2017/18,First class honours,5
Sex,Not known,Full-time,England,2017/18,Upper second class honours,5
Sex,Not known,Full-time,England,2017/18,Lower second class honours,5
Sex,Not known,Full-time,England,2017/18,Third class honours/Pass,5
Sex,Not known,Full-time,England,2017/18,Unclassified,0
Sex,Not known,Full-time,England,2018/19,First class honours,0
Sex,Not known,Full-time,England,2018/19,Upper second class honours,0
Sex,Not known,Full-time,England,2018/19,Lower second class honours,0
Sex,Not known,Full-time,England,2018/19,Third class honours/Pass,0
Sex,Not known,Full-time,England,2018/19,Unclassified,0
Sex,Not known,All,England,2015/16,First class honours,10
Sex,Not known,All,England,2015/16,Upper second class honours,20
Sex,Not known,All,England,2015/16,Lower second class honours,5
Sex,Not known,All,England,2015/16,Third class honours/Pass,5
Sex,Not known,All,England,2015/16,Unclassified,0
Sex,Not known,All,England,2016/17,First class honours,5
Sex,Not known,All,England,2016/17,Upper second class honours,15
Sex,Not known,All,England,2016/17,Lower second class honours,0
Sex,Not known,All,England,2016/17,Third class honours/Pass,0
Sex,Not known,All,England,2016/17,Unclassified,0
Sex,Not known,All,England,2017/18,First class honours,5
Sex,Not known,All,England,2017/18,Upper second class honours,5
Sex,Not known,All,England,2017/18,Lower second class honours,5
Sex,Not known,All,England,2017/18,Third class honours/Pass,5
Sex,Not known,All,England,2017/18,Unclassified,0
Sex,Not known,All,England,2018/19,First class honours,0
Sex,Not known,All,England,2018/19,Upper second class honours,0
Sex,Not known,All,England,2018/19,Lower second class honours,0
Sex,Not known,All,England,2018/19,Third class honours/Pass,0
Sex,Not known,All,England,2018/19,Unclassified,0
Sex,Not known,All,All,2015/16,First class honours,10
Sex,Not known,All,All,2015/16,Upper second class honours,20
Sex,Not known,All,All,2015/16,Lower second class honours,5
Sex,Not known,All,All,2015/16,Third class honours/Pass,5
Sex,Not known,All,All,2015/16,Unclassified,0
Sex,Not known,All,All,2016/17,First class honours,5
Sex,Not known,All,All,2016/17,Upper second class honours,15
Sex,Not known,All,All,2016/17,Lower second class honours,0
Sex,Not known,All,All,2016/17,Third class honours/Pass,0
Sex,Not known,All,All,2016/17,Unclassified,0
Sex,Not known,All,All,2017/18,First class honours,5
Sex,Not known,All,All,2017/18,Upper second class honours,5
Sex,Not known,All,All,2017/18,Lower second class honours,5
Sex,Not known,All,All,2017/18,Third class honours/Pass,5
Sex,Not known,All,All,2017/18,Unclassified,0
Sex,Not known,All,All,2018/19,First class honours,0
Sex,Not known,All,All,2018/19,Upper second class honours,0
Sex,Not known,All,All,2018/19,Lower second class honours,0
Sex,Not known,All,All,2018/19,Third class honours/Pass,0
Sex,Not known,All,All,2018/19,Unclassified,0
Sex,Not known,Full-time,All,2015/16,First class honours,10
Sex,Not known,Full-time,All,2015/16,Upper second class honours,20
Sex,Not known,Full-time,All,2015/16,Lower second class honours,5
Sex,Not known,Full-time,All,2015/16,Third class honours/Pass,5
Sex,Not known,Full-time,All,2015/16,Unclassified,0
Sex,Not known,Full-time,All,2016/17,First class honours,5
Sex,Not known,Full-time,All,2016/17,Upper second class honours,15
Sex,Not known,Full-time,All,2016/17,Lower second class honours,0
Sex,Not known,Full-time,All,2016/17,Third class honours/Pass,0
Sex,Not known,Full-time,All,2016/17,Unclassified,0
Sex,Not known,Full-time,All,2017/18,First class honours,5
Sex,Not known,Full-time,All,2017/18,Upper second class honours,5
Sex,Not known,Full-time,All,2017/18,Lower second class honours,5
Sex,Not known,Full-time,All,2017/18,Third class honours/Pass,5
Sex,Not known,Full-time,All,2017/18,Unclassified,0
Sex,Not known,Full-time,All,2018/19,First class honours,0
Sex,Not known,Full-time,All,2018/19,Upper second class honours,0
Sex,Not known,Full-time,All,2018/19,Lower second class honours,0
Sex,Not known,Full-time,All,2018/19,Third class honours/Pass,0
Sex,Not known,Full-time,All,2018/19,Unclassified,0
Religious belief,No religion,Full-time,England,2018/19,First class honours,40135
Religious belief,No religion,Full-time,England,2018/19,Upper second class honours,62760
Religious belief,No religion,Full-time,England,2018/19,Lower second class honours,18770
Religious belief,No religion,Full-time,England,2018/19,Third class honours/Pass,3335
Religious belief,No religion,Full-time,England,2018/19,Unclassified,3465
Religious belief,No religion,Part-time,England,2018/19,First class honours,1895
Religious belief,No religion,Part-time,England,2018/19,Upper second class honours,2655
Religious belief,No religion,Part-time,England,2018/19,Lower second class honours,1650
Religious belief,No religion,Part-time,England,2018/19,Third class honours/Pass,860
Religious belief,No religion,Part-time,England,2018/19,Unclassified,245
Religious belief,No religion,Full-time,Northern Ireland,2018/19,First class honours,495
Religious belief,No religion,Full-time,Northern Ireland,2018/19,Upper second class honours,785
Religious belief,No religion,Full-time,Northern Ireland,2018/19,Lower second class honours,235
Religious belief,No religion,Full-time,Northern Ireland,2018/19,Third class honours/Pass,35
Religious belief,No religion,Full-time,Northern Ireland,2018/19,Unclassified,55
Religious belief,No religion,Part-time,Northern Ireland,2018/19,First class honours,45
Religious belief,No religion,Part-time,Northern Ireland,2018/19,Upper second class honours,85
Religious belief,No religion,Part-time,Northern Ireland,2018/19,Lower second class honours,40
Religious belief,No religion,Part-time,Northern Ireland,2018/19,Third class honours/Pass,5
Religious belief,No religion,Part-time,Northern Ireland,2018/19,Unclassified,5
Religious belief,No religion,Full-time,Scotland,2018/19,First class honours,3525
Religious belief,No religion,Full-time,Scotland,2018/19,Upper second class honours,6655
Religious belief,No religion,Full-time,Scotland,2018/19,Lower second class honours,1905
Religious belief,No religion,Full-time,Scotland,2018/19,Third class honours/Pass,330
Religious belief,No religion,Full-time,Scotland,2018/19,Unclassified,4080
Religious belief,No religion,Part-time,Scotland,2018/19,First class honours,135
Religious belief,No religion,Part-time,Scotland,2018/19,Upper second class honours,240
Religious belief,No religion,Part-time,Scotland,2018/19,Lower second class honours,120
Religious belief,No religion,Part-time,Scotland,2018/19,Third class honours/Pass,55
Religious belief,No religion,Part-time,Scotland,2018/19,Unclassified,635
Religious belief,No religion,Full-time,Wales,2018/19,First class honours,2930
Religious belief,No religion,Full-time,Wales,2018/19,Upper second class honours,4995
Religious belief,No religion,Full-time,Wales,2018/19,Lower second class honours,1850
Religious belief,No religion,Full-time,Wales,2018/19,Third class honours/Pass,270
Religious belief,No religion,Full-time,Wales,2018/19,Unclassified,215
Religious belief,No religion,Part-time,Wales,2018/19,First class honours,135
Religious belief,No religion,Part-time,Wales,2018/19,Upper second class honours,150
Religious belief,No religion,Part-time,Wales,2018/19,Lower second class honours,90
Religious belief,No religion,Part-time,Wales,2018/19,Third class honours/Pass,40
Religious belief,No religion,Part-time,Wales,2018/19,Unclassified,10
Religious belief,No religion,Full-time,England,2019/20,First class honours,49120
Religious belief,No religion,Full-time,England,2019/20,Upper second class honours,59790
Religious belief,No religion,Full-time,England,2019/20,Lower second class honours,14540
Religious belief,No religion,Full-time,England,2019/20,Third class honours/Pass,2135
Religious belief,No religion,Full-time,England,2019/20,Unclassified,3600
Religious belief,No religion,Part-time,England,2019/20,First class honours,1840
Religious belief,No religion,Part-time,England,2019/20,Upper second class honours,2120
Religious belief,No religion,Part-time,England,2019/20,Lower second class honours,1155
Religious belief,No religion,Part-time,England,2019/20,Third class honours/Pass,565
Religious belief,No religion,Part-time,England,2019/20,Unclassified,175
Religious belief,No religion,Full-time,Northern Ireland,2019/20,First class honours,510
Religious belief,No religion,Full-time,Northern Ireland,2019/20,Upper second class honours,800
Religious belief,No religion,Full-time,Northern Ireland,2019/20,Lower second class honours,170
Religious belief,No religion,Full-time,Northern Ireland,2019/20,Third class honours/Pass,10
Religious belief,No religion,Full-time,Northern Ireland,2019/20,Unclassified,60
Religious belief,No religion,Part-time,Northern Ireland,2019/20,First class honours,55
Religious belief,No religion,Part-time,Northern Ireland,2019/20,Upper second class honours,65
Religious belief,No religion,Part-time,Northern Ireland,2019/20,Lower second class honours,25
Religious belief,No religion,Part-time,Northern Ireland,2019/20,Third class honours/Pass,15
Religious belief,No religion,Part-time,Northern Ireland,2019/20,Unclassified,0
Religious belief,No religion,Full-time,Scotland,2019/20,First class honours,4600
Religious belief,No religion,Full-time,Scotland,2019/20,Upper second class honours,6675
Religious belief,No religion,Full-time,Scotland,2019/20,Lower second class honours,1490
Religious belief,No religion,Full-time,Scotland,2019/20,Third class honours/Pass,235
Religious belief,No religion,Full-time,Scotland,2019/20,Unclassified,3530
Religious belief,No religion,Part-time,Scotland,2019/20,First class honours,85
Religious belief,No religion,Part-time,Scotland,2019/20,Upper second class honours,125
Religious belief,No religion,Part-time,Scotland,2019/20,Lower second class honours,70
Religious belief,No religion,Part-time,Scotland,2019/20,Third class honours/Pass,30
Religious belief,No religion,Part-time,Scotland,2019/20,Unclassified,505
Religious belief,No religion,Full-time,Wales,2019/20,First class honours,3865
Religious belief,No religion,Full-time,Wales,2019/20,Upper second class honours,4915
Religious belief,No religion,Full-time,Wales,2019/20,Lower second class honours,1595
Religious belief,No religion,Full-time,Wales,2019/20,Third class honours/Pass,230
Religious belief,No religion,Full-time,Wales,2019/20,Unclassified,185
Religious belief,No religion,Part-time,Wales,2019/20,First class honours,130
Religious belief,No religion,Part-time,Wales,2019/20,Upper second class honours,130
Religious belief,No religion,Part-time,Wales,2019/20,Lower second class honours,65
Religious belief,No religion,Part-time,Wales,2019/20,Third class honours/Pass,30
Religious belief,No religion,Part-time,Wales,2019/20,Unclassified,10
Religious belief,No religion,All,England,2018/19,First class honours,42035
Religious belief,No religion,All,England,2018/19,Upper second class honours,65415
Religious belief,No religion,All,England,2018/19,Lower second class honours,20425
Religious belief,No religion,All,England,2018/19,Third class honours/Pass,4195
Religious belief,No religion,All,England,2018/19,Unclassified,3710
Religious belief,No religion,All,Northern Ireland,2018/19,First class honours,540
Religious belief,No religion,All,Northern Ireland,2018/19,Upper second class honours,870
Religious belief,No religion,All,Northern Ireland,2018/19,Lower second class honours,270
Religious belief,No religion,All,Northern Ireland,2018/19,Third class honours/Pass,40
Religious belief,No religion,All,Northern Ireland,2018/19,Unclassified,60
Religious belief,No religion,All,Scotland,2018/19,First class honours,3655
Religious belief,No religion,All,Scotland,2018/19,Upper second class honours,6900
Religious belief,No religion,All,Scotland,2018/19,Lower second class honours,2025
Religious belief,No religion,All,Scotland,2018/19,Third class honours/Pass,390
Religious belief,No religion,All,Scotland,2018/19,Unclassified,4715
Religious belief,No religion,All,Wales,2018/19,First class honours,3065
Religious belief,No religion,All,Wales,2018/19,Upper second class honours,5145
Religious belief,No religion,All,Wales,2018/19,Lower second class honours,1940
Religious belief,No religion,All,Wales,2018/19,Third class honours/Pass,310
Religious belief,No religion,All,Wales,2018/19,Unclassified,225
Religious belief,No religion,All,England,2019/20,First class honours,50960
Religious belief,No religion,All,England,2019/20,Upper second class honours,61910
Religious belief,No religion,All,England,2019/20,Lower second class honours,15695
Religious belief,No religion,All,England,2019/20,Third class honours/Pass,2700
Religious belief,No religion,All,England,2019/20,Unclassified,3775
Religious belief,No religion,All,Northern Ireland,2019/20,First class honours,565
Religious belief,No religion,All,Northern Ireland,2019/20,Upper second class honours,860
Religious belief,No religion,All,Northern Ireland,2019/20,Lower second class honours,190
Religious belief,No religion,All,Northern Ireland,2019/20,Third class honours/Pass,25
Religious belief,No religion,All,Northern Ireland,2019/20,Unclassified,60
Religious belief,No religion,All,Scotland,2019/20,First class honours,4685
Religious belief,No religion,All,Scotland,2019/20,Upper second class honours,6800
Religious belief,No religion,All,Scotland,2019/20,Lower second class honours,1560
Religious belief,No religion,All,Scotland,2019/20,Third class honours/Pass,265
Religious belief,No religion,All,Scotland,2019/20,Unclassified,4040
Religious belief,No religion,All,Wales,2019/20,First class honours,3995
Religious belief,No religion,All,Wales,2019/20,Upper second class honours,5045
Religious belief,No religion,All,Wales,2019/20,Lower second class honours,1660
Religious belief,No religion,All,Wales,2019/20,Third class honours/Pass,260
Religious belief,No religion,All,Wales,2019/20,Unclassified,195
Religious belief,No religion,All,All,2018/19,First class honours,49295
Religious belief,No religion,All,All,2018/19,Upper second class honours,78325
Religious belief,No religion,All,All,2018/19,Lower second class honours,24660
Religious belief,No religion,All,All,2018/19,Third class honours/Pass,4930
Religious belief,No religion,All,All,2018/19,Unclassified,8705
Religious belief,No religion,All,All,2019/20,First class honours,60205
Religious belief,No religion,All,All,2019/20,Upper second class honours,74615
Religious belief,No religion,All,All,2019/20,Lower second class honours,19105
Religious belief,No religion,All,All,2019/20,Third class honours/Pass,3250
Religious belief,No religion,All,All,2019/20,Unclassified,8070
Religious belief,No religion,Full-time,All,2018/19,First class honours,47085
Religious belief,No religion,Full-time,All,2018/19,Upper second class honours,75195
Religious belief,No religion,Full-time,All,2018/19,Lower second class honours,22760
Religious belief,No religion,Full-time,All,2018/19,Third class honours/Pass,3970
Religious belief,No religion,Full-time,All,2018/19,Unclassified,7810
Religious belief,No religion,Full-time,All,2019/20,First class honours,58095
Religious belief,No religion,Full-time,All,2019/20,Upper second class honours,72175
Religious belief,No religion,Full-time,All,2019/20,Lower second class honours,17795
Religious belief,No religion,Full-time,All,2019/20,Third class honours/Pass,2610
Religious belief,No religion,Full-time,All,2019/20,Unclassified,7385
Religious belief,No religion,Part-time,All,2018/19,First class honours,2210
Religious belief,No religion,Part-time,All,2018/19,Upper second class honours,3130
Religious belief,No religion,Part-time,All,2018/19,Lower second class honours,1900
Religious belief,No religion,Part-time,All,2018/19,Third class honours/Pass,960
Religious belief,No religion,Part-time,All,2018/19,Unclassified,895
Religious belief,No religion,Part-time,All,2019/20,First class honours,2105
Religious belief,No religion,Part-time,All,2019/20,Upper second class honours,2440
Religious belief,No religion,Part-time,All,2019/20,Lower second class honours,1310
Religious belief,No religion,Part-time,All,2019/20,Third class honours/Pass,640
Religious belief,No religion,Part-time,All,2019/20,Unclassified,690
Religious belief,Buddhist,Full-time,England,2018/19,First class honours,300
Religious belief,Buddhist,Full-time,England,2018/19,Upper second class honours,550
Religious belief,Buddhist,Full-time,England,2018/19,Lower second class honours,275
Religious belief,Buddhist,Full-time,England,2018/19,Third class honours/Pass,45
Religious belief,Buddhist,Full-time,England,2018/19,Unclassified,45
Religious belief,Buddhist,Part-time,England,2018/19,First class honours,10
Religious belief,Buddhist,Part-time,England,2018/19,Upper second class honours,25
Religious belief,Buddhist,Part-time,England,2018/19,Lower second class honours,35
Religious belief,Buddhist,Part-time,England,2018/19,Third class honours/Pass,25
Religious belief,Buddhist,Part-time,England,2018/19,Unclassified,5
Religious belief,Buddhist,Full-time,Northern Ireland,2018/19,First class honours,0
Religious belief,Buddhist,Full-time,Northern Ireland,2018/19,Upper second class honours,5
Religious belief,Buddhist,Full-time,Northern Ireland,2018/19,Lower second class honours,0
Religious belief,Buddhist,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
Religious belief,Buddhist,Full-time,Northern Ireland,2018/19,Unclassified,0
Religious belief,Buddhist,Part-time,Northern Ireland,2018/19,First class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2018/19,Upper second class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2018/19,Lower second class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
Religious belief,Buddhist,Part-time,Northern Ireland,2018/19,Unclassified,0
Religious belief,Buddhist,Full-time,Scotland,2018/19,First class honours,10
Religious belief,Buddhist,Full-time,Scotland,2018/19,Upper second class honours,35
Religious belief,Buddhist,Full-time,Scotland,2018/19,Lower second class honours,10
Religious belief,Buddhist,Full-time,Scotland,2018/19,Third class honours/Pass,0
Religious belief,Buddhist,Full-time,Scotland,2018/19,Unclassified,20
Religious belief,Buddhist,Part-time,Scotland,2018/19,First class honours,0
Religious belief,Buddhist,Part-time,Scotland,2018/19,Upper second class honours,0
Religious belief,Buddhist,Part-time,Scotland,2018/19,Lower second class honours,0
Religious belief,Buddhist,Part-time,Scotland,2018/19,Third class honours/Pass,0
Religious belief,Buddhist,Part-time,Scotland,2018/19,Unclassified,5
Religious belief,Buddhist,Full-time,Wales,2018/19,First class honours,10
Religious belief,Buddhist,Full-time,Wales,2018/19,Upper second class honours,25
Religious belief,Buddhist,Full-time,Wales,2018/19,Lower second class honours,15
Religious belief,Buddhist,Full-time,Wales,2018/19,Third class honours/Pass,5
Religious belief,Buddhist,Full-time,Wales,2018/19,Unclassified,0
Religious belief,Buddhist,Part-time,Wales,2018/19,First class honours,0
Religious belief,Buddhist,Part-time,Wales,2018/19,Upper second class honours,5
Religious belief,Buddhist,Part-time,Wales,2018/19,Lower second class honours,0
Religious belief,Buddhist,Part-time,Wales,2018/19,Third class honours/Pass,0
Religious belief,Buddhist,Part-time,Wales,2018/19,Unclassified,0
Religious belief,Buddhist,Full-time,England,2019/20,First class honours,375
Religious belief,Buddhist,Full-time,England,2019/20,Upper second class honours,565
Religious belief,Buddhist,Full-time,England,2019/20,Lower second class honours,205
Religious belief,Buddhist,Full-time,England,2019/20,Third class honours/Pass,35
Religious belief,Buddhist,Full-time,England,2019/20,Unclassified,55
Religious belief,Buddhist,Part-time,England,2019/20,First class honours,20
Religious belief,Buddhist,Part-time,England,2019/20,Upper second class honours,30
Religious belief,Buddhist,Part-time,England,2019/20,Lower second class honours,20
Religious belief,Buddhist,Part-time,England,2019/20,Third class honours/Pass,15
Religious belief,Buddhist,Part-time,England,2019/20,Unclassified,0
Religious belief,Buddhist,Full-time,Northern Ireland,2019/20,First class honours,0
Religious belief,Buddhist,Full-time,Northern Ireland,2019/20,Upper second class honours,5
Religious belief,Buddhist,Full-time,Northern Ireland,2019/20,Lower second class honours,0
Religious belief,Buddhist,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
Religious belief,Buddhist,Full-time,Northern Ireland,2019/20,Unclassified,0
Religious belief,Buddhist,Part-time,Northern Ireland,2019/20,First class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2019/20,Upper second class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2019/20,Lower second class honours,0
Religious belief,Buddhist,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
Religious belief,Buddhist,Part-time,Northern Ireland,2019/20,Unclassified,0
Religious belief,Buddhist,Full-time,Scotland,2019/20,First class honours,25
Religious belief,Buddhist,Full-time,Scotland,2019/20,Upper second class honours,40
Religious belief,Buddhist,Full-time,Scotland,2019/20,Lower second class honours,0
Religious belief,Buddhist,Full-time,Scotland,2019/20,Third class honours/Pass,5
Religious belief,Buddhist,Full-time,Scotland,2019/20,Unclassified,20
Religious belief,Buddhist,Part-time,Scotland,2019/20,First class honours,0
Religious belief,Buddhist,Part-time,Scotland,2019/20,Upper second class honours,0
Religious belief,Buddhist,Part-time,Scotland,2019/20,Lower second class honours,0
Religious belief,Buddhist,Part-time,Scotland,2019/20,Third class honours/Pass,0
Religious belief,Buddhist,Part-time,Scotland,2019/20,Unclassified,5
Religious belief,Buddhist,Full-time,Wales,2019/20,First class honours,20
Religious belief,Buddhist,Full-time,Wales,2019/20,Upper second class honours,20
Religious belief,Buddhist,Full-time,Wales,2019/20,Lower second class honours,15
Religious belief,Buddhist,Full-time,Wales,2019/20,Third class honours/Pass,5
Religious belief,Buddhist,Full-time,Wales,2019/20,Unclassified,0
Religious belief,Buddhist,Part-time,Wales,2019/20,First class honours,0
Religious belief,Buddhist,Part-time,Wales,2019/20,Upper second class honours,0
