UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Qualification/Classification marker,Level of qualification/Degree classification,Number
,Total,England,London,2017/18,First degree classification,Upper second class honours,28620
,Total,England,London,2017/18,First degree classification,Lower second class honours,12620
,Total,England,London,2017/18,First degree classification,Third class honours/Pass,2970
,Total,England,London,2017/18,First degree classification,Unclassified,2775
,Total,England,North East,2017/18,First degree classification,First class honours,5700
,Total,England,North East,2017/18,First degree classification,Upper second class honours,9915
,Total,England,North East,2017/18,First degree classification,Lower second class honours,3610
,Total,England,North East,2017/18,First degree classification,Third class honours/Pass,840
,Total,England,North East,2017/18,First degree classification,Unclassified,475
,Total,England,North West,2017/18,First degree classification,First class honours,13685
,Total,England,North West,2017/18,First degree classification,Upper second class honours,20510
,Total,England,North West,2017/18,First degree classification,Lower second class honours,8935
,Total,England,North West,2017/18,First degree classification,Third class honours/Pass,2285
,Total,England,North West,2017/18,First degree classification,Unclassified,1450
,Total,England,South East,2017/18,First degree classification,First class honours,14205
,Total,England,South East,2017/18,First degree classification,Upper second class honours,27520
,Total,England,South East,2017/18,First degree classification,Lower second class honours,11760
,Total,England,South East,2017/18,First degree classification,Third class honours/Pass,3235
,Total,England,South East,2017/18,First degree classification,Unclassified,1555
,Total,England,South West,2017/18,First degree classification,First class honours,8455
,Total,England,South West,2017/18,First degree classification,Upper second class honours,17670
,Total,England,South West,2017/18,First degree classification,Lower second class honours,5750
,Total,England,South West,2017/18,First degree classification,Third class honours/Pass,1130
,Total,England,South West,2017/18,First degree classification,Unclassified,1060
,Total,England,West Midlands,2017/18,First degree classification,First class honours,10350
,Total,England,West Midlands,2017/18,First degree classification,Upper second class honours,16600
,Total,England,West Midlands,2017/18,First degree classification,Lower second class honours,6880
,Total,England,West Midlands,2017/18,First degree classification,Third class honours/Pass,1805
,Total,England,West Midlands,2017/18,First degree classification,Unclassified,1140
,Total,England,Yorkshire and The Humber,2017/18,First degree classification,First class honours,10230
,Total,England,Yorkshire and The Humber,2017/18,First degree classification,Upper second class honours,18415
,Total,England,Yorkshire and The Humber,2017/18,First degree classification,Lower second class honours,6900
,Total,England,Yorkshire and The Humber,2017/18,First degree classification,Third class honours/Pass,1560
,Total,England,Yorkshire and The Humber,2017/18,First degree classification,Unclassified,1155
,Total,Northern Ireland,All,2017/18,First degree classification,First class honours,2450
,Total,Northern Ireland,All,2017/18,First degree classification,Upper second class honours,4550
,Total,Northern Ireland,All,2017/18,First degree classification,Lower second class honours,1660
,Total,Northern Ireland,All,2017/18,First degree classification,Third class honours/Pass,240
,Total,Northern Ireland,All,2017/18,First degree classification,Unclassified,290
,Total,Northern Ireland,Northern Ireland,2017/18,First degree classification,First class honours,2450
,Total,Northern Ireland,Northern Ireland,2017/18,First degree classification,Upper second class honours,4550
,Total,Northern Ireland,Northern Ireland,2017/18,First degree classification,Lower second class honours,1660
,Total,Northern Ireland,Northern Ireland,2017/18,First degree classification,Third class honours/Pass,240
,Total,Northern Ireland,Northern Ireland,2017/18,First degree classification,Unclassified,290
,Total,Scotland,All,2017/18,First degree classification,First class honours,7575
,Total,Scotland,All,2017/18,First degree classification,Upper second class honours,15115
,Total,Scotland,All,2017/18,First degree classification,Lower second class honours,4740
,Total,Scotland,All,2017/18,First degree classification,Third class honours/Pass,945
,Total,Scotland,All,2017/18,First degree classification,Unclassified,9925
,Total,Scotland,Scotland,2017/18,First degree classification,First class honours,7575
,Total,Scotland,Scotland,2017/18,First degree classification,Upper second class honours,15115
,Total,Scotland,Scotland,2017/18,First degree classification,Lower second class honours,4740
